Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2015,John Santikos,Texas,Real estate,San Antonio Area Foundation,Texas,Community foundations,Bequest,"$605,000,000 "
2015,John A. Paulson,New York,Finance,"Harvard U. (Cambridge, Mass.)",Massachusetts,Colleges and universities,Unrestricted,"$400,000,000 "
2015,Stefan Edlis and Gael Neeson,Illinois,Manufacturing,Art Institute of Chicago,Illinois,Arts,NoncashGift,"$400,000,000 "
2015,William H. Scheide,New Jersey,Family wealth,Princeton U. (N.J.),New Jersey,Colleges and universities,NoncashGift,"$300,000,000 "
2015,David H. Koch,New York,Oil,Memorial Sloan-Kettering Cancer Center (New York),New York,Health,Pledge,"$150,000,000 "
2015,Stephen A. Schwarzman,New York,Investments,"Yale U. (New Haven, Conn.)",Connecticut,Colleges and universities,,"$150,000,000 "
2015,Donald Sirkin,Washington,Construction,Lighthouse for the Blind and Visually Impaired (San Francisco),California,Human and social services,Bequest,"$125,000,000 "
2015,Samuel Tak Lee,,"Family wealth, Real estate",Massachusetts Institute of Technology (Cambridge),Massachusetts,Colleges and universities,Gift,"$118,000,000 "
2015,David Geffen,California,Entertainment,U. of California at Los Angeles,California,Colleges and universities,,"$100,000,000 "
2015,Gordon and Betty Moore,California,Technology,California Institute of Technology (Pasadena),California,Colleges and universities,PledgeUnrestricted,"$100,000,000 "
2015,Conrad T. Prebys,California,Construction,"Sanford-Burnham Medical Research Institute (La Jolla, Calif.)",California,Health,,"$100,000,000 "
2015,Henry R. and Marie-Josée Kravis,New York,Finance,Rockefeller U. (New York),New York,Colleges and universities,,"$100,000,000 "
2015,Marion Anderson,California,,"U. of California at Los Angeles, Anderson School of Management",California,Colleges and universities,,"$100,000,000 "
2015,Rady Family Foundation (Ernest and Evelyn Rady),California,Real estate,"U. of California at San Diego, Rady School of Management",California,Colleges and universities,,"$100,000,000 "
2015,David Geffen,California,Entertainment,Lincoln Center for the Performing Arts (New York),New York,Arts,Gift,"$100,000,000 "
2015,Roberta Buffett Elliott,,"Family wealth, Investments","Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,Gift,"$100,000,000 "
2015,Louis A. Simpson and Kimberly K. Querrey,Florida,Insurance,"Northwestern U. (Evanston, Ill.)",Illinois,Colleges and universities,Gift,"$92,000,000 "
2015,Mark Zuckerberg and Priscilla Chan,California,Technology,San Francisco General Hospital Foundation,California,Health,Gift,"$75,000,000 "
2015,Fayez S. Sarofim,Texas,"Family wealth, Finance","Museum of Fine Arts, Houston",Texas,Arts,Gift,"$70,000,000 "
2015,Thompson Family Foundation (Wade F.B. Thompson),Ohio,Manufacturing,Park Avenue Armory (New York),New York,Historic preservation,Bequest,"$65,000,000 "
2015,Zell Family Foundation (Sam and Helen Zell),Illinois,"Finance, Hotels, Media and entertainment, Real estate",U. of Michigan at Ann Arbor,Michigan,Colleges and universities,Pledge,"$60,000,000 "
